Column1;Course code;Course Name;Long descrition;Description;Prerequisites:;Semester;Format;CRN;Subject;Course;Type;Credits;Instructor;Status
71;CHEM 519 ;Advances in Chemistry of Atmosphere.;"Selected areas of atmospheric chemistry from field and laboratory to theoretical modelling are examined. The principles of atmospheric reactions (gas, liquid and heterogeneous phases in aerosols and clouds) and issues related to chemical global change will be explored. 
 
 Prerequisites: CHEM 243, CHEM 213 and CHEM 273, MATH 222 and MATH 315 (or equivalents) or permission of instructor.
 Restriction(s): Not open to students who have taken or are taking CHEM 419, CHEM 619, ATOC 419, ATOC 519 or ATOC 619.
 3 lectures
 Offered in even years. Students should register in ATOC 519 in odd years.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Chemistry Department";Selected areas of atmospheric chemistry from field and laboratory to theoretical modelling are examined. The principles of atmospheric reactions (gas, liquid and heterogeneous phases in aerosols and clouds) and issues related to chemical global change will be explored. ; CHEM 243, CHEM 213 and CHEM 273, MATH 222 and MATH 315 (or equivalents) or permission of instructor.;;;1867;CHEM;519;Lecture;30;Parisa A  Ariya;Active
72;CHEM 520 ;Methods in Chemical Biology.;"An overview of advanced techniques at the leading edge of Chemical Biology, including some or all of: biological imaging, kinetics of enzyme inhibition, combinatorial synthesis, atomic force microscopy of biological molecules, self assembling biomimetic structures, oligonucleotide therapeutics, biomolecular X-ray crystallography, computational methods, and nuclear magnetic resonance applied to protein interactions. 
 
 Fall
 Prerequisites: BIOL 200 and CHEM 345 and CHEM 302, or permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";An overview of advanced techniques at the leading edge of Chemical Biology, including some or all of: biological imaging, kinetics of enzyme inhibition, combinatorial synthesis, atomic force microscopy of biological molecules, self assembling biomimetic structures, oligonucleotide therapeutics, biomolecular X-ray crystallography, computational methods, and nuclear magnetic resonance applied to protein interactions. ;BIOL 200 and CHEM 345 and CHEM 302, or permission of instructor; Fall;;1868;CHEM;520;Lecture;30;Christopher  Thibodeaux, Janine  Mauzeroll, Anthony Karl Mittermaier;Active
73;CHEM 522 ;Stereochemistry.;"Stereoisomers, their nomenclature and configuration. Conformational analysis, separation of stereoisomers, and stereocontrol in organic synthesis. 
 
 Winter
 Prerequisite: CHEM 302
 Restriction: Not open to students who have taken CHEM 623
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";Stereoisomers, their nomenclature and configuration. Conformational analysis, separation of stereoisomers, and stereocontrol in organic synthesis. ;CHEM 302;Winter;;1869;CHEM;522;Lecture;30;Nicolas Rene Francois Moitessier;Active
74;CHEM 534 ;Nanoscience and Nanotechnology.;"Topics discussed include scanning probe microscopy, chemical self-assembly, computer modelling, and microfabrication/micromachining. 
 
 Fall
 Prerequisites: CHEM 434 or PHYS 334 or permission of instructor
 Corequisites: one of CHEM 345, PHYS 357, or PHYS 346 or permission of instructor
 Restriction: Not open to students who have taken or are taking PHYS 534
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";"Topics discussed include scanning probe microscopy, chemical self-assembly, computer modelling, and microfabrication/micromachining. 
 ";CHEM 434 or PHYS 334 or permission of instructor; Fall;;1870;CHEM;534;Lecture;30;Mark P  Andrews;Active
75;CHEM 556 ;Advanced Quantum Mechanics.;"Quantum mechanical treatment of species of chemical interest. Introduction to perturbation theory, both time-dependent and time-independent. Treatment of the variational principle. Introduction to atomic spectra. Chemical bonding in terms of both the valence bond and molecular orbital theory. Elementary collision theory. Interaction of radiation with molecules. 
 
 Fall
 Prerequisites: CHEM 345 and PHYS 242
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";Quantum mechanical treatment of species of chemical interest. Introduction to perturbation theory, both time-dependent and time-independent. Treatment of the variational principle. Introduction to atomic spectra. Chemical bonding in terms of both the valence bond and molecular orbital theory. Elementary collision theory. Interaction of radiation with molecules. ;CHEM 345 and PHYS 242; Fall;;1872;CHEM;556;Lecture;30;Patanjali  Kambhampati;Active
76;CHEM 575 ;Chemical Kinetics.;"Kinetic laws, measurement of reaction rates, transition state and collision theory, experimental techniques in reaction kinetics, reaction mechanisms, RRKM theory, Marcus theory of electron transfer, photochemistry and catalysis. Recent developments and their application to chemical and biological problems. Elementary reactions in gas, solution and solid phases and on surfaces. 
 
 Winter
 Prerequisites: CHEM 273 and CHEM 223/CHEM 243 (formerly CHEM 213).
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";Kinetic laws, measurement of reaction rates, transition state and collision theory, experimental techniques in reaction kinetics, reaction mechanisms, RRKM theory, Marcus theory of electron transfer, photochemistry and catalysis. Recent developments and their application to chemical and biological problems. Elementary reactions in gas, solution and solid phases and on surfaces. ; CHEM 273 and CHEM 223/CHEM 243 (formerly CHEM 213).;Winter;;1873;CHEM;575;Lecture;30;Gonzalo  Cosa;Active
77;CHEM 582 ;Supramolecular Chemistry.;"Introduction to supramolecular organization will be followed by discussions on the nature of interactions and methodologies to create ordered aggregates of high complexity. Potential of supramolecular chemistry in fabricating smart materials will be explored using specific topics including inclusion chemistry, dendrimers, molecular self-assembly and crystal engineering. 
 
 Winter
 Prerequisites: CHEM 222, CHEM 381
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Chemistry Department";Introduction to supramolecular organization will be followed by discussions on the nature of interactions and methodologies to create ordered aggregates of high complexity. Potential of supramolecular chemistry in fabricating smart materials will be explored using specific topics including inclusion chemistry, dendrimers, molecular self-assembly and crystal engineering. ;CHEM 222, CHEM 381;Winter;;1874;CHEM;582;Lecture;30;Hanadi  Sleiman;Active
78;COMP 202 ;Foundations of Programming.;"Introduction to computer programming in a high level language: variables, expressions, primitive types, methods, conditionals, loops. Introduction to algorithms, data structures (arrays, strings), modular software design, libraries, file input/output, debugging, exception handling. Selected topics. 
 
 3 hours
 Prerequisite: a CEGEP level mathematics course
 Restrictions: COMP 202 and COMP 208 cannot both be taken for credit. COMP 202 is intended as a general introductory course, while COMP 208 is intended for students interested in scientific computation. COMP 202 cannot be taken for credit with or after COMP 250
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Laboratory, Midterm Exam, Optional Tutorial 
 All Sections for this Course 
 
 Faculty of Science 
 Computer Science Department";Introduction to communication between animals, including humans. Physical and phylogenetic constraints on the evolution of communication systems will be discussed. The approach to communication will draw from behavioural ecology, psychology, physiology and physics. ;a CEGEP level mathematics course;;;2040;COMP;202;Lecture;30;Jonathan Cody Campbell;Active
80;COMP 204 ;Computer Programming for Life Sciences.;"Computer Science (Sci): Computer programming in a high level language: variables, expressions, types, functions, conditionals, loops, objects and classes. Introduction to algorithms, modular software design, libraries, file input/output, debugging. Emphasis on applications in the life sciences. 
 
 Prerequisite(s): CEGEP level mathematics course.
 Co-requisite: BIOL 112
 Restrictions: Not open to students who have taken or are taking COMP 202, COMP 208, or GEOG 333; not open to students who have taken or are taking COMP 206 or COMP 250.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Computer Science (Sci): Computer programming in a high level language: variables, expressions, types, functions, conditionals, loops, objects and classes. Introduction to algorithms, modular software design, libraries, file input/output, debugging. Emphasis on applications in the life sciences. ;CEGEP level mathematics course.;;;2045;COMP;204;Lecture;30;David Camilo Becerra;Active
81;COMP 206 ;Introduction to Software Systems.;"Comprehensive overview of programming in C, use of system calls and libraries, debugging and testing of code; use of developmental tools like make, version control systems. 
 
 3 hours
 Prerequisite: COMP 202 or COMP 250
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam, Optional Tutorial, Tutorial 
 All Sections for this Course 
 
 Faculty of Science 
 Computer Science Department";"Comprehensive overview of programming in C, use of system calls and libraries, debugging and testing of code; use of developmental tools like make, version control systems. ";COMP 202 or COMP 250;;;2047;COMP;206;Lecture;30;Joseph Vinish D'silva;Active
82;COMP 230 ;Logic and Computability.;"Propositional Logic, predicate calculus, proof systems, computability Turing machines, Church-Turing thesis, unsolvable problems, completeness, incompleteness, Tarski semantics, uses and misuses of G̦del's theorem. 
 
 3 hours
 Prerequisite: CEGEP level mathematics.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Propositional Logic, predicate calculus, proof systems, computability Turing machines, Church-Turing thesis, unsolvable problems, completeness, incompleteness, Tarski semantics, uses and misuses of G̦del's theorem. ;MATH 235 or MATH 240 or MATH 242.;;;2059;COMP;230;Lecture;30;Dirk  Schlimm;Active
83;COMP 250 ;Introduction to Computer Science.;"Mathematical tools (binary numbers, induction, recurrence relations, asymptotic complexity, establishing correctness of programs), Data structures (arrays, stacks, queues, linked lists, trees, binary trees, binary search trees, heaps, hash tables), Recursive and non-recursive algorithms (searching and sorting, tree and graph traversal). Abstract data types, inheritance. Selected topics. 
 
 3 hours
 Prerequisites: Familiarity with a high level programming language and CEGEP level Math.
 Students with limited programming experience should take COMP 202 or equivalent before COMP 250. See COMP 202 Course Description for a list of topics.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial, Tutorial 
 
 Faculty of Science 
 Computer Science Department";Mathematical tools (binary numbers, induction, recurrence relations, asymptotic complexity, establishing correctness of programs), Data structures (arrays, stacks, queues, linked lists, trees, binary trees, binary search trees, heaps, hash tables), Recursive and non-recursive algorithms (searching and sorting, tree and graph traversal). Abstract data types, inheritance. Selected topics. ; Familiarity with a high level programming language and CEGEP level Math.;;;2060;COMP;250;Lecture;30;Giulia  Alberini;Active
84;COMP 251 ;Algorithms and Data Structures.;"Introduction to algorithm design and analysis. Graph algorithms, greedy algorithms, data structures, dynamic programming, maximum flows. 
 
 3 hours
 Prerequisites: COMP 250; MATH 235 or MATH 240
 COMP 251 uses mathematical proof techniques that are taught in the corequisite course(s). If possible, students should take the corequisite course prior to COMP 251.
 COMP 251 uses basic counting techniques (permutations and combinations) that are covered in MATH 240 but not in MATH 235. These techniques will be reviewed for the benefit of MATH 235 students.
 Restrictions: Not open to students who have taken or are taking COMP 252.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";Introduction to algorithm design and analysis. Graph algorithms, greedy algorithms, data structures, dynamic programming, maximum flows. ;"COMP 250; MATH 235 or MATH 240";;;2061;COMP;251;Lecture;30;J̩r̫me  Waldispuhl, Giulia  Alberini;Active
85;COMP 273 ;Introduction to Computer Systems.;"Number representations, combinational and sequential digital circuits, MIPS instructions and architecture datapath and control, caches, virtual memory, interrupts and exceptions, pipelining. 
 
 3 hours
 Corequisite: COMP 206.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";"Number representations, combinational and sequential digital circuits, MIPS instructions and architecture datapath and control, caches, virtual memory, interrupts and exceptions, pipelining. 
 ";COMP 206.;;;2062;COMP;273;Lecture;30;Joseph P  Vybihal;Active
86;COMP 302 ;Programming Languages and Paradigms.;"Programming language design issues and programming paradigms. Binding and scoping, parameter passing, lambda abstraction, data abstraction, type checking. Functional and logic programming. 
 
 3 hours
 Prerequisite(s): COMP 250 and (MATH 240 or MATH 235 or MATH 318 or COMP 230 or PHIL 210)
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";Programming language design issues and programming paradigms. Binding and scoping, parameter passing, lambda abstraction, data abstraction, type checking. Functional and logic programming. ;COMP 250 and (MATH 240 or MATH 235 or MATH 318 or COMP 230 or PHIL 210);;;2063;COMP;302;Lecture;30;Jacob Thomas Errington;Active
87;COMP 303 ;Software Design.;"Principles, mechanisms, techniques, and tools for object-oriented software design and its implementation, including encapsulation, design patterns, and unit testing. 
 
 3 hours
 Prerequisites: COMP 206, COMP 250.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Laboratory, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";"Principles, mechanisms, techniques, and tools for object-oriented software design and its implementation, including encapsulation, design patterns, and unit testing. 
 ";COMP 206, COMP 250.;;;2064;COMP;303;Lecture;30;Martin  Robillard;Active
88;COMP 307 ;Principles of Web Development.;"The course discusses the major principles, algorithms, languages and technologies that underlie web development. Students receive practical hands-on experience through a project. 
 
 Prerequisite(s): COMP 206
 Corequisite(s): COMP 303
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Project 
 
 Faculty of Science 
 Computer Science Department";The course discusses the major principles, algorithms, languages and technologies that underlie web development. Students receive practical hands-on experience through a project. ;COMP 206;;;2066;COMP;307;Lecture;30;Joseph P  Vybihal;Active
89;COMP 310 ;Operating Systems.;"Control and scheduling of large information processing systems. Operating system software - resource allocation, dispatching, processors, access methods, job control languages, main storage management. Batch processing, multiprogramming, multiprocessing, time sharing. 
 
 3 hours
 Prerequisite: COMP 273 
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";"Control and scheduling of large information processing systems. Operating system software - resource allocation, dispatching, processors, access methods, job control languages, main storage management. Batch processing, multiprogramming, multiprocessing, time sharing. 
 ";COMP 273 ;;;2067;COMP;310;Lecture;30;Muthucumaru  Maheswaran;Active
90;COMP 321 ;Programming Challenges.;"Development of programming skills on tricky challenges, games and puzzles by means of programming competitions. 
 
 1 hour
 Prerequisites: COMP 206
 Note: At the end of the class, interested students are encouraged to join the McGill team to participate in the annual ACM International Collegiate Programming Competition.
 Corequisites: COMP 251 or COMP 252
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Development of programming skills on tricky challenges, games and puzzles by means of programming competitions. ;COMP 206;;;2068;COMP;321;Lecture;30;David Camilo Becerra;Active
91;COMP 330 ;Theory of Computation.;"Finite automata, regular languages, context-free languages, push-down automata, models of computation, computability theory, undecidability, reduction techniques. 
 
 3 hours
 Prerequisite: COMP 251.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Tutorial 
 
 Faculty of Science 
 Computer Science Department";Finite automata, regular languages, context-free languages, push-down automata, models of computation, computability theory, undecidability, reduction techniques. ;COMP 251.;;;2069;COMP;330;Lecture;30;Prakash  Panangaden;Active
92;COMP 350 ;Numerical Computing.;"Computer representation of numbers, IEEE Standard for Floating Point Representation, computer arithmetic and rounding errors. Numerical stability. Matrix computations and software systems. Polynomial interpolation. Least-squares approximation. Iterative methods for solving a nonlinear equation. Discretization methods for integration and differential equations. 
 
 3 hours
 Prerequisites: MATH 222 and MATH 223 and one of: COMP 202, COMP 208, COMP 250; or equivalents.
 Restrictions: Students cannot receive credit for both COMP 350 and MATH 317.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Computer representation of numbers, IEEE Standard for Floating Point Representation, computer arithmetic and rounding errors. Numerical stability. Matrix computations and software systems. Polynomial interpolation. Least-squares approximation. Iterative methods for solving a nonlinear equation. Discretization methods for integration and differential equations. ;"MATH 222 and MATH 223 and one of: COMP 202, COMP 208, COMP 250; or equivalents.";;;2071;COMP;350;Lecture;30;Xiao-Wen  Chang;Active
93;COMP 360 ;Algorithm Design.;"Advanced algorithm design and analysis. Linear programming, complexity and NP-completeness, advanced algorithmic techniques. 
 
 3 hours
 Prerequisite: Either COMP 251 or COMP 252, and either MATH 240 or MATH 235 or MATH 363.
 Restriction: Not open to students who have taken or are taking COMP 362.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Computer Science Department";Advanced algorithm design and analysis. Linear programming, complexity and NP-completeness, advanced algorithmic techniques. ;Either COMP 251 or COMP 252, and either MATH 240 or MATH 235 or MATH 363.;;;2072;COMP;360;Lecture;30;Robert  Robere;Active
94;COMP 361D1 ;Software Engineering Project.;"Software development process in practice: requirement elicitation and analysis, software design, implementation, integration, test planning, and maintenance. Application of the core concepts and techniques through the realization of a large software system. 
 
 Prerequisites: COMP 206, COMP 250
 Corequisite: COMP 303
 Restriction: Not open to students who have taken the 3 credit version of COMP 361.
 Students must register for both COMP 361D1 and COMP 361D2
 No credit will be given for this course unless both COMP 361D1 and COMP 361D2 are successfully completed in consecutive terms
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam 
 
 Faculty of Science 
 Computer Science Department";"Software development process in practice: requirement elicitation and analysis, software design, implementation, integration, test planning, and maintenance. Application of the core concepts and techniques through the realization of a large software system. 
 ";COMP 206, COMP 250;;;5566;COMP;361D1;Lecture;30;Maximilian  Schiedermeier;Active
95;COMP 401 ;Project in Biology and Computer Science.;"A research project applying computational approaches to a biological problem. The project is (co)-supervised by a professor in Computer Science and/or Biology. A program advisor from each department has to approve the project. 
 
 3 hours
 Prerequisites: COMP 251 and 9 credits of BIOL courses, BIOL 301 recommended.
 Restriction: Registration in the Biology and Computer Science joint major.
 Note: having taken BIOL 301 before COMP 401 is beneficial for finding a project within a Biology lab.
 
 3.000 Credit hours 
 
 Schedule Types: Independent Study 
 
 Faculty of Science 
 Computer Science Department";"A research project applying computational approaches to a biological problem. The project is (co)-supervised by a professor in Computer Science and/or Biology. A program advisor from each department has to approve the project. 
 ";COMP 251 and 9 credits of BIOL courses, BIOL 301 recommended.;;;2073;COMP;401;Independent Study;30;J̩r̫me  Waldispuhl;Active
96;COMP 402D1 ;Honours Project in Computer Science and Biology.;"A two-semester research project applying computational approaches to a biological problem. The project is (co)-supervised by a professor in Computer Science and/or Biology or related fields. 
 
 Prerequisite(s): 9 credits of COMP courses and 9 credits of BIOL courses.
 Restriction(s): Only for students in the Joint Honours in Computer Science and Biology.
 Students must register for both COMP 402D1 and COMP 402D2
 No credit will be given for this course unless both COMP 402D1 and COMP 402D2 are successfully completed in consecutive terms
 COMP 402D1 and COMP 402D2 are equivalent to COMP 402
 
 3.000 Credit hours 
 
 Schedule Types: Research Course 
 
 Faculty of Science 
 Computer Science Department";A two-semester research project applying computational approaches to a biological problem. The project is (co)-supervised by a professor in Computer Science and/or Biology or related fields. ; 9 credits of COMP courses and 9 credits of BIOL courses.;;;5567;COMP;402D1;Research Course;30;J̩r̫me  Waldispuhl;Active
97;COMP 417 ;Introduction Robotics and Intelligent Systems.;"This course considers issues relevant to the design of robotic and of intelligent systems. How can robots move and interact. Robotic hardware systems. Kinematics and inverse kinematics. Sensors, sensor data interpretation and sensor fusion. Path planning. Configuration spaces. Position estimation. Intelligent systems. Spatial mapping. Multi-agent systems. Applications. 
 
 3 hours
 Prerequisites: COMP 251, MATH 223 and (ECSE 321 or COMP 206).
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";"This course considers issues relevant to the design of robotic and of intelligent systems. How can robots move and interact. Robotic hardware systems. Kinematics and inverse kinematics. Sensors, sensor data interpretation and sensor fusion. Path planning. Configuration spaces. Position estimation. Intelligent systems. Spatial mapping. Multi-agent systems. Applications. 
 ";COMP 251, MATH 223 and (ECSE 321 or COMP 206).;;;2074;COMP;417;Lecture;30;Faraz  Lotfi, Gregory L  Dudek;Active
98;COMP 424 ;Artificial Intelligence.;"Introduction to search methods. Knowledge representation using logic and probability. Planning and decision making under uncertainty. Introduction to machine learning. 
 
 3 hours
 Prerequisites: (COMP 206 or ECSE 321), MATH 323 or equivalent and COMP 251.
 Restriction: Not open to students who have taken or are taking ECSE 526.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Introduction to search methods. Knowledge representation using logic and probability. Planning and decision making under uncertainty. Introduction to machine learning. ;(COMP 206 or ECSE 321), MATH 323 or equivalent and COMP 251.;;;2075;COMP;424;Lecture;30;David Paul Meger;Active
99;COMP 451 ;Fundamentals of Machine Learning.;"Introduction to the computational, statistical and mathematical foundations of machine learning. Algorithms for both supervised learning and unsupervised learning. Maximum likelihood estimation, neural networks, and regularization. 
 
 Prerequisite: COMP 251, MATH 222, MATH 223, and MATH 323.
 Restriction: Not open to students who are taking or have taken COMP 551.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Computer Science Department";Introduction to the computational, statistical and mathematical foundations of machine learning. Algorithms for both supervised learning and unsupervised learning. Maximum likelihood estimation, neural networks, and regularization. ;COMP 251, MATH 222, MATH 223, and MATH 323.;;;2076;COMP;451;Lecture;30;Mohsen  Ravanbakhsh;Active
100;COMP 462 ;Computational Biology Methods.;"Application of computer science techniques to problems arising in biology and medicine, techniques for modeling evolution, aligning molecular sequences, predicting structure of a molecule and other problems from computational biology. 
 
 3 hours
 Prerequisites: COMP 251, and MATH 323 or MATH 203 or BIOL 309
 Restriction: Not open to students who have taken or are taking COMP 561.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam 
 
 Faculty of Science 
 Computer Science Department";Application of computer science techniques to problems arising in biology and medicine, techniques for modeling evolution, aligning molecular sequences, predicting structure of a molecule and other problems from computational biology. ;COMP 251, and MATH 323 or MATH 203 or BIOL 309;;;2077;COMP;462;Lecture;30;Mathieu  Blanchette;Active
101;COMP 480 ;Independent Studies in Computer Science.;"Reading course permitting independent study under the supervision of a faculty member who specializes in a subject where no course is available. 
 
 Restrictions: Approval must be obtained from the Course Coordinator before registration.
 
 3.000 Credit hours 
 
 Schedule Types: Independent Study 
 
 Faculty of Science 
 Computer Science Department";Reading course permitting independent study under the supervision of a faculty member who specializes in a subject where no course is available. ;;;;7702;COMP;480;Independent Study;30;TBA;Active
102;COMP 512 ;Distributed Systems.;"Models and Architectures. Application-oriented communication paradigms (e.g. remote method invocation, group communication). Naming services. Synchronization (e.g. mutual exclusion, concurrency control). Fault-tolerance (e.g. process and replication, agreement protocols). Distributed file systems. Security. Examples of distributed systems (e.g. Web, CORBA). Advanced Topics. 
 
 4 hours
 Prerequisites: COMP 310, COMP 251 or equivalent.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Computer Science Department";Models and Architectures. Application-oriented communication paradigms (e.g. remote method invocation, group communication). Naming services. Synchronization (e.g. mutual exclusion, concurrency control). Fault-tolerance (e.g. process and replication, agreement protocols). Distributed file systems. Security. Examples of distributed systems (e.g. Web, CORBA). Advanced Topics. ;COMP 310, COMP 251 or equivalent.;;;2078;COMP;512;Lecture;40;Joseph Vinish D'silva, Bettina  Kemme;Active
103;COMP 514 ;Applied Robotics.;"The approach and the challenges in the key components of manipulators and locomotors: representations, kinematics, dynamics, rigid-body chains, redundant systems, under-actuated systems, control, planning, and perception. Practical aspects of robotics: collisions, integrating sensory feedback, and real-time software development. 
 
 Prerequisites: MATH 223, MATH 323, COMP 206, and COMP 250, or equivalents.
 Restrictions: Not open to students who have taken COMP 597 when the topic was ""Applied Robotics"".
 Students should be comfortable with C++ (such as from COMP 322) and a Unix-like programming environment.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Computer Science Department";The approach and the challenges in the key components of manipulators and locomotors: representations, kinematics, dynamics, rigid-body chains, redundant systems, under-actuated systems, control, planning, and perception. Practical aspects of robotics: collisions, integrating sensory feedback, and real-time software development. ;MATH 223, MATH 323, COMP 206, and COMP 250, or equivalents.;;;2079;COMP;514;Lecture;40;Hsiu-Chin  Lin;Active
104;COMP 525 ;Formal Verification.;"Propositional logic - syntax and semantics, temporal logic, other modal logics, model checking, symbolic model checking, binary decision diagrams, other approaches to formal verification. 
 
 3 hours
 Prerequisites: COMP 251 and COMP 330.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam 
 
 Faculty of Science 
 Computer Science Department";Propositional logic - syntax and semantics, temporal logic, other modal logics, model checking, symbolic model checking, binary decision diagrams, other approaches to formal verification. ;COMP 251 and COMP 330.;;;2080;COMP;525;Lecture;30;Prakash  Panangaden;Active
105;COMP 531 ;Advanced Theory of Computation.;"Models for sequential and parallel computations: Turing machines, boolean circuits. The equivalence of various models and the Church-Turing thesis. Unsolvable problems. Model dependent measures of computational complexity. Abstract complexity theory. Exponentially and super-exponentially difficult problems. Complete problems. 
 
 3 hours
 Prerequisite: COMP 330 
 
 3.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Computer Science Department";Models for sequential and parallel computations: Turing machines, boolean circuits. The equivalence of various models and the Church-Turing thesis. Unsolvable problems. Model dependent measures of computational complexity. Abstract complexity theory. Exponentially and super-exponentially difficult problems. Complete problems. ;COMP 330 ;;;2081;COMP;531;Lecture;30;Hamed  Hatami;Active
106;COMP 546 ;Computational Perception.;"Computational models of visual perception and audition. Vision problems include stereopsis, motion, focus, perspective, color. Audition problems include source localization and recognition. Emphasis on physics of image formation, sensory signal processing, neural pathways and computation, psychophysical methods. 
 
 3 hours
 Restrictions: Not open to students who have taken COMP 646.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam 
 
 Faculty of Science 
 Computer Science Department";Computational models of visual perception and audition. Vision problems include stereopsis, motion, focus, perspective, color. Audition problems include source localization and recognition. Emphasis on physics of image formation, sensory signal processing, neural pathways and computation, psychophysical methods. ;;;;2083;COMP;546;Lecture;40;Michael  Langer;Active
107;COMP 547 ;Cryptography and Data Security.;"This course presents an in-depth study of modern cryptography and data security. The basic information theoretic and computational properties of classical and modern cryptographic systems are presented, followed by a cryptanalytic examination of several important systems. We will study the applications of cryptography to the security of systems. 
 
 3 hours
 Prerequisites: COMP 360 or COMP 362, MATH 323.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Optional Tutorial 
 All Sections for this Course 
 
 Faculty of Science 
 Computer Science Department";This course presents an in-depth study of modern cryptography and data security. The basic information theoretic and computational properties of classical and modern cryptographic systems are presented, followed by a cryptanalytic examination of several important systems. We will study the applications of cryptography to the security of systems. ; COMP 360 or COMP 362, MATH 323.;;;2084;COMP;547;Lecture;40;Claude  Crepeau;Active
108;COMP 551 ;Applied Machine Learning.;"Selected topics in machine learning and data mining, including clustering, neural networks, support vector machines, decision trees. Methods include feature selection and dimensionality reduction, error estimation and empirical validation, algorithm design and parallelization, and handling of large data sets. Emphasis on good methods and practices for deployment of real systems. 
 
 Prerequisite(s): MATH 323 or ECSE 205 or ECSE 305 or equivalent
 Restriction(s): Not open to students who have taken or are taking COMP 451.
 Some background in Artificial Intelligence is recommended, e.g. COMP-424 or ECSE-526, but not required.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial, Tutorial 
 
 Faculty of Science 
 Computer Science Department";Selected topics in machine learning and data mining, including clustering, neural networks, support vector machines, decision trees. Methods include feature selection and dimensionality reduction, error estimation and empirical validation, algorithm design and parallelization, and handling of large data sets. Emphasis on good methods and practices for deployment of real systems. ;MATH 323 or ECSE 205 or ECSE 305 or equivalent;;;2087;COMP;551;Lecture;40;Yue  Li;Active
